Age,mortality,population,deaths,infected,seroprevalence
0-24,0.0004330127019,3272656,0,0.0,0.0
25-44,0.0001732050808,2983946,37,213619.59954698975,0.07158963317264781
45-64,0.001428941916,3101521,464,324715.78781792836,0.10469565990942133
65-74,0.008140638796,1189567,934,114733.01093507944,0.09644938951322576
75-84,0.03126351708,704639,2128,68066.55804446683,0.09659777282334192
85+,0.1447994475,337287,3304,22817.766621657862,0.06765089262751858
