All Ages,"8,537,673"
Under 5,"553,277"
5-9,"496,622"
10-14,"467,016"
15-19,"466,963"
20-24,"588,268"
25-29,"804,436"
30-34,"728,985"
35-39,"625,351"
40-44,"550,081"
45-49,"553,115"
50-54,"553,489"
55-59,"530,749"
60-64,"464,246"
65-69,"388,657"
70-74,"265,894"
75-79,"199,912"
80-84,"139,369"
85 & over,"161,243"
