Age Group,Percentage
All Ages,100.0
Under 5,6.480419196190812
5-9,5.816830885886588
10-14,5.470061924367448
15-19,5.469441146317035
20-24,6.890261550190549
25-29,9.422192674748727
30-34,8.53845069962272
35-39,7.324607067991478
40-44,6.442985108471594
45-49,6.478521723659362
50-54,6.482902308392463
55-59,6.216553386385259
60-64,5.437617486638338
65-69,4.552259146022576
70-74,3.1143614893660136
75-79,2.3415279549825816
80-84,1.6324003039235633
85 & over,1.8886059468428928
