Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/07/07,81+,2,149,07/25/2020 03:15:01 PM
2020/07/08,81+,2,151,07/25/2020 03:15:01 PM
2020/07/09,81+,2,153,07/25/2020 03:15:01 PM
2020/07/10,81+,1,154,07/25/2020 03:15:01 PM
2020/07/11,81+,1,155,07/25/2020 03:15:01 PM
2020/07/12,81+,1,156,07/25/2020 03:15:01 PM
2020/07/13,81+,2,158,07/25/2020 03:15:01 PM
2020/07/14,81+,4,162,07/25/2020 03:15:01 PM
2020/07/15,81+,1,163,07/25/2020 03:15:01 PM
2020/07/16,81+,1,164,07/25/2020 03:15:01 PM
2020/07/17,81+,2,166,07/25/2020 03:15:01 PM
2020/07/18,81+,0,166,07/25/2020 03:15:01 PM
2020/07/19,81+,0,166,07/25/2020 03:15:01 PM
2020/07/20,81+,1,167,07/25/2020 03:15:01 PM
2020/07/21,81+,2,169,07/25/2020 03:15:01 PM
2020/07/22,81+,0,169,07/25/2020 03:15:01 PM
2020/07/23,81+,0,169,07/25/2020 03:15:01 PM
2020/04/04,under 18,1,5,07/25/2020 03:15:01 PM
2020/04/05,under 18,0,5,07/25/2020 03:15:01 PM
2020/04/06,under 18,2,7,07/25/2020 03:15:01 PM
2020/04/07,under 18,6,13,07/25/2020 03:15:01 PM
2020/04/08,under 18,1,14,07/25/2020 03:15:01 PM
2020/04/09,under 18,2,16,07/25/2020 03:15:01 PM
2020/04/10,under 18,1,17,07/25/2020 03:15:01 PM
2020/04/11,under 18,1,18,07/25/2020 03:15:01 PM
2020/04/12,under 18,0,18,07/25/2020 03:15:01 PM
2020/04/13,under 18,3,21,07/25/2020 03:15:01 PM
2020/04/14,under 18,0,21,07/25/2020 03:15:01 PM
2020/04/15,under 18,0,21,07/25/2020 03:15:01 PM
2020/04/16,under 18,1,22,07/25/2020 03:15:01 PM
2020/04/17,under 18,0,22,07/25/2020 03:15:01 PM
2020/04/18,under 18,2,24,07/25/2020 03:15:01 PM
2020/04/19,under 18,0,24,07/25/2020 03:15:01 PM
2020/04/20,under 18,2,26,07/25/2020 03:15:01 PM
2020/04/21,under 18,2,28,07/25/2020 03:15:01 PM
2020/04/22,under 18,4,32,07/25/2020 03:15:01 PM
2020/04/23,under 18,1,33,07/25/2020 03:15:01 PM
2020/04/24,under 18,2,35,07/25/2020 03:15:01 PM
2020/04/25,under 18,5,40,07/25/2020 03:15:01 PM
2020/04/26,under 18,2,42,07/25/2020 03:15:01 PM
2020/04/27,under 18,3,45,07/25/2020 03:15:01 PM
2020/04/28,under 18,7,52,07/25/2020 03:15:01 PM
2020/04/29,under 18,3,55,07/25/2020 03:15:01 PM
2020/04/30,under 18,3,58,07/25/2020 03:15:01 PM
2020/05/01,under 18,3,61,07/25/2020 03:15:01 PM
2020/05/02,under 18,6,67,07/25/2020 03:15:01 PM
2020/05/03,under 18,2,69,07/25/2020 03:15:01 PM
2020/05/04,under 18,6,75,07/25/2020 03:15:01 PM
2020/05/05,under 18,0,75,07/25/2020 03:15:01 PM
2020/05/06,under 18,2,77,07/25/2020 03:15:01 PM
2020/05/07,under 18,4,81,07/25/2020 03:15:01 PM
2020/05/08,under 18,6,87,07/25/2020 03:15:01 PM
2020/05/09,under 18,0,87,07/25/2020 03:15:01 PM
2020/05/10,under 18,0,87,07/25/2020 03:15:01 PM
2020/05/11,under 18,3,90,07/25/2020 03:15:01 PM
2020/05/12,under 18,4,94,07/25/2020 03:15:01 PM
2020/05/13,under 18,1,95,07/25/2020 03:15:01 PM
2020/05/14,under 18,7,102,07/25/2020 03:15:01 PM
2020/05/15,under 18,5,107,07/25/2020 03:15:01 PM
2020/05/16,under 18,0,107,07/25/2020 03:15:01 PM
2020/05/17,under 18,1,108,07/25/2020 03:15:01 PM
2020/05/18,under 18,8,116,07/25/2020 03:15:01 PM
2020/05/19,under 18,7,123,07/25/2020 03:15:01 PM
2020/05/20,under 18,8,131,07/25/2020 03:15:01 PM
2020/05/21,under 18,5,136,07/25/2020 03:15:01 PM
2020/05/22,under 18,5,141,07/25/2020 03:15:01 PM
2020/05/23,under 18,3,144,07/25/2020 03:15:01 PM
2020/05/24,under 18,0,144,07/25/2020 03:15:01 PM
2020/05/25,under 18,0,144,07/25/2020 03:15:01 PM
2020/05/26,under 18,11,155,07/25/2020 03:15:01 PM
2020/05/27,under 18,8,163,07/25/2020 03:15:01 PM
2020/05/28,under 18,5,168,07/25/2020 03:15:01 PM
2020/05/29,under 18,3,171,07/25/2020 03:15:01 PM
2020/05/30,under 18,2,173,07/25/2020 03:15:01 PM
2020/05/31,under 18,2,175,07/25/2020 03:15:01 PM
2020/06/01,under 18,2,177,07/25/2020 03:15:01 PM
2020/06/02,under 18,10,187,07/25/2020 03:15:01 PM
2020/06/03,under 18,1,188,07/25/2020 03:15:01 PM
2020/06/04,under 18,2,190,07/25/2020 03:15:01 PM
2020/06/05,under 18,3,193,07/25/2020 03:15:01 PM
2020/06/06,under 18,3,196,07/25/2020 03:15:01 PM
2020/06/07,under 18,2,198,07/25/2020 03:15:01 PM
2020/06/08,under 18,5,203,07/25/2020 03:15:01 PM
2020/06/09,under 18,4,207,07/25/2020 03:15:01 PM
2020/06/10,under 18,1,208,07/25/2020 03:15:01 PM
2020/06/11,under 18,1,209,07/25/2020 03:15:01 PM
2020/06/12,under 18,2,211,07/25/2020 03:15:01 PM
2020/06/13,under 18,1,212,07/25/2020 03:15:01 PM
2020/06/14,under 18,1,213,07/25/2020 03:15:01 PM
2020/06/15,under 18,10,223,07/25/2020 03:15:01 PM
2020/06/16,under 18,10,233,07/25/2020 03:15:01 PM
2020/06/17,under 18,11,244,07/25/2020 03:15:01 PM
2020/06/18,under 18,2,246,07/25/2020 03:15:01 PM
2020/06/19,under 18,5,251,07/25/2020 03:15:01 PM
2020/06/20,under 18,4,255,07/25/2020 03:15:01 PM
2020/06/21,under 18,3,258,07/25/2020 03:15:01 PM
2020/06/22,under 18,11,269,07/25/2020 03:15:01 PM
2020/06/23,under 18,16,285,07/25/2020 03:15:01 PM
2020/06/24,under 18,9,294,07/25/2020 03:15:01 PM
2020/06/25,under 18,4,298,07/25/2020 03:15:01 PM
2020/06/26,under 18,7,305,07/25/2020 03:15:01 PM
2020/06/27,under 18,6,311,07/25/2020 03:15:01 PM
2020/06/28,under 18,6,317,07/25/2020 03:15:01 PM
2020/06/29,under 18,3,320,07/25/2020 03:15:01 PM
2020/06/30,under 18,17,337,07/25/2020 03:15:01 PM
2020/07/01,under 18,13,350,07/25/2020 03:15:01 PM
2020/07/02,under 18,6,356,07/25/2020 03:15:01 PM
2020/07/03,under 18,13,369,07/25/2020 03:15:01 PM
2020/07/04,under 18,0,369,07/25/2020 03:15:01 PM
2020/07/05,under 18,5,374,07/25/2020 03:15:01 PM
2020/07/06,under 18,5,379,07/25/2020 03:15:01 PM
2020/07/07,under 18,5,384,07/25/2020 03:15:01 PM
2020/07/08,under 18,7,391,07/25/2020 03:15:01 PM
2020/07/09,under 18,11,402,07/25/2020 03:15:01 PM
2020/07/10,under 18,16,418,07/25/2020 03:15:01 PM
2020/07/11,under 18,7,425,07/25/2020 03:15:01 PM
2020/07/12,under 18,6,431,07/25/2020 03:15:01 PM
2020/07/13,under 18,26,457,07/25/2020 03:15:01 PM
2020/07/14,under 18,22,479,07/25/2020 03:15:01 PM
2020/07/15,under 18,25,504,07/25/2020 03:15:01 PM
2020/07/16,under 18,15,519,07/25/2020 03:15:01 PM
2020/07/17,under 18,16,535,07/25/2020 03:15:01 PM
2020/07/18,under 18,15,550,07/25/2020 03:15:01 PM
2020/07/19,under 18,6,556,07/25/2020 03:15:01 PM
2020/07/20,under 18,13,569,07/25/2020 03:15:01 PM
2020/07/21,under 18,8,577,07/25/2020 03:15:01 PM
2020/07/22,under 18,7,584,07/25/2020 03:15:01 PM
2020/07/23,under 18,4,588,07/25/2020 03:15:01 PM
2020/03/05,41-50,4,5,07/25/2020 03:15:01 PM
2020/03/06,41-50,0,5,07/25/2020 03:15:01 PM
2020/03/07,41-50,0,5,07/25/2020 03:15:01 PM
2020/03/08,41-50,0,5,07/25/2020 03:15:01 PM
2020/03/09,41-50,0,5,07/25/2020 03:15:01 PM
2020/03/10,41-50,2,7,07/25/2020 03:15:01 PM
2020/03/11,41-50,2,9,07/25/2020 03:15:01 PM
2020/03/12,41-50,2,11,07/25/2020 03:15:01 PM
2020/03/13,41-50,4,15,07/25/2020 03:15:01 PM
2020/03/14,41-50,1,16,07/25/2020 03:15:01 PM
2020/03/15,41-50,0,16,07/25/2020 03:15:01 PM
2020/03/16,41-50,10,26,07/25/2020 03:15:01 PM
2020/03/17,41-50,3,29,07/25/2020 03:15:01 PM
2020/03/18,41-50,4,33,07/25/2020 03:15:01 PM
2020/03/19,41-50,4,37,07/25/2020 03:15:01 PM
2020/03/20,41-50,8,45,07/25/2020 03:15:01 PM
2020/03/21,41-50,1,46,07/25/2020 03:15:01 PM
2020/03/22,41-50,6,52,07/25/2020 03:15:01 PM
2020/03/23,41-50,4,56,07/25/2020 03:15:01 PM
2020/03/24,41-50,6,62,07/25/2020 03:15:01 PM
2020/03/25,41-50,9,71,07/25/2020 03:15:01 PM
2020/03/26,41-50,5,76,07/25/2020 03:15:01 PM
2020/03/27,41-50,9,85,07/25/2020 03:15:01 PM
2020/03/28,41-50,1,86,07/25/2020 03:15:01 PM
2020/03/29,41-50,2,88,07/25/2020 03:15:01 PM
2020/03/30,41-50,10,98,07/25/2020 03:15:01 PM
2020/03/31,41-50,12,110,07/25/2020 03:15:01 PM
2020/04/01,41-50,7,117,07/25/2020 03:15:01 PM
2020/04/02,41-50,4,121,07/25/2020 03:15:01 PM
2020/04/03,41-50,3,124,07/25/2020 03:15:01 PM
2020/04/04,41-50,5,129,07/25/2020 03:15:01 PM
2020/04/05,41-50,3,132,07/25/2020 03:15:01 PM
2020/04/06,41-50,11,143,07/25/2020 03:15:01 PM
2020/04/07,41-50,12,155,07/25/2020 03:15:01 PM
2020/04/08,41-50,16,171,07/25/2020 03:15:01 PM
2020/04/09,41-50,20,191,07/25/2020 03:15:01 PM
2020/04/10,41-50,5,196,07/25/2020 03:15:01 PM
2020/04/11,41-50,1,197,07/25/2020 03:15:01 PM
2020/04/12,41-50,0,197,07/25/2020 03:15:01 PM
2020/04/13,41-50,6,203,07/25/2020 03:15:01 PM
2020/04/14,41-50,11,214,07/25/2020 03:15:01 PM
2020/04/15,41-50,7,221,07/25/2020 03:15:01 PM
2020/04/16,41-50,5,226,07/25/2020 03:15:01 PM
2020/04/17,41-50,8,234,07/25/2020 03:15:01 PM
2020/04/18,41-50,4,238,07/25/2020 03:15:01 PM
2020/04/19,41-50,7,245,07/25/2020 03:15:01 PM
2020/04/20,41-50,8,253,07/25/2020 03:15:01 PM
2020/04/21,41-50,7,260,07/25/2020 03:15:01 PM
2020/04/22,41-50,5,265,07/25/2020 03:15:01 PM
2020/04/23,41-50,4,269,07/25/2020 03:15:01 PM
2020/04/24,41-50,3,272,07/25/2020 03:15:01 PM
2020/04/25,41-50,13,285,07/25/2020 03:15:01 PM
2020/04/26,41-50,5,290,07/25/2020 03:15:01 PM
2020/04/27,41-50,5,295,07/25/2020 03:15:01 PM
2020/04/28,41-50,10,305,07/25/2020 03:15:01 PM
2020/04/29,41-50,8,313,07/25/2020 03:15:01 PM
2020/04/30,41-50,5,318,07/25/2020 03:15:01 PM
2020/05/01,41-50,8,326,07/25/2020 03:15:01 PM
2020/05/02,41-50,4,330,07/25/2020 03:15:01 PM
2020/05/03,41-50,2,332,07/25/2020 03:15:01 PM
2020/05/04,41-50,16,348,07/25/2020 03:15:01 PM
2020/05/05,41-50,14,362,07/25/2020 03:15:01 PM
2020/05/06,41-50,7,369,07/25/2020 03:15:01 PM
2020/05/07,41-50,6,375,07/25/2020 03:15:01 PM
2020/05/08,41-50,7,382,07/25/2020 03:15:01 PM
2020/05/09,41-50,0,382,07/25/2020 03:15:01 PM
2020/05/10,41-50,1,383,07/25/2020 03:15:01 PM
2020/05/11,41-50,4,387,07/25/2020 03:15:01 PM
2020/05/12,41-50,6,393,07/25/2020 03:15:01 PM
2020/05/13,41-50,9,402,07/25/2020 03:15:01 PM
2020/05/14,41-50,4,406,07/25/2020 03:15:01 PM
2020/05/15,41-50,6,412,07/25/2020 03:15:01 PM
2020/05/16,41-50,1,413,07/25/2020 03:15:01 PM
2020/05/17,41-50,0,413,07/25/2020 03:15:01 PM
2020/05/18,41-50,6,419,07/25/2020 03:15:01 PM
2020/05/19,41-50,6,425,07/25/2020 03:15:01 PM
2020/05/20,41-50,12,437,07/25/2020 03:15:01 PM
2020/05/21,41-50,4,441,07/25/2020 03:15:01 PM
2020/05/22,41-50,5,446,07/25/2020 03:15:01 PM
2020/05/23,41-50,1,447,07/25/2020 03:15:01 PM
2020/05/24,41-50,2,449,07/25/2020 03:15:01 PM
2020/05/25,41-50,2,451,07/25/2020 03:15:01 PM
2020/05/26,41-50,5,456,07/25/2020 03:15:01 PM
2020/05/27,41-50,2,458,07/25/2020 03:15:01 PM
2020/05/28,41-50,3,461,07/25/2020 03:15:01 PM
2020/05/29,41-50,6,467,07/25/2020 03:15:01 PM
2020/05/30,41-50,3,470,07/25/2020 03:15:01 PM
2020/05/31,41-50,4,474,07/25/2020 03:15:01 PM
2020/06/01,41-50,8,482,07/25/2020 03:15:01 PM
2020/06/02,41-50,8,490,07/25/2020 03:15:01 PM
2020/06/03,41-50,2,492,07/25/2020 03:15:01 PM
2020/06/04,41-50,2,494,07/25/2020 03:15:01 PM
2020/06/05,41-50,3,497,07/25/2020 03:15:01 PM
2020/06/06,41-50,6,503,07/25/2020 03:15:01 PM
2020/06/07,41-50,5,508,07/25/2020 03:15:01 PM
2020/06/08,41-50,6,514,07/25/2020 03:15:01 PM
2020/06/09,41-50,8,522,07/25/2020 03:15:01 PM
2020/06/10,41-50,6,528,07/25/2020 03:15:01 PM
2020/06/11,41-50,4,532,07/25/2020 03:15:01 PM
2020/06/12,41-50,6,538,07/25/2020 03:15:01 PM
2020/06/13,41-50,4,542,07/25/2020 03:15:01 PM
2020/06/14,41-50,3,545,07/25/2020 03:15:01 PM
2020/06/15,41-50,5,550,07/25/2020 03:15:01 PM
2020/06/16,41-50,9,559,07/25/2020 03:15:01 PM
2020/06/17,41-50,7,566,07/25/2020 03:15:01 PM
2020/06/18,41-50,8,574,07/25/2020 03:15:01 PM
2020/06/19,41-50,6,580,07/25/2020 03:15:01 PM
2020/06/20,41-50,8,588,07/25/2020 03:15:01 PM
2020/06/21,41-50,6,594,07/25/2020 03:15:01 PM
2020/06/22,41-50,16,610,07/25/2020 03:15:01 PM
2020/06/23,41-50,15,625,07/25/2020 03:15:01 PM
2020/06/24,41-50,9,634,07/25/2020 03:15:01 PM
2020/06/25,41-50,4,638,07/25/2020 03:15:01 PM
2020/06/26,41-50,5,643,07/25/2020 03:15:01 PM
2020/06/27,41-50,4,647,07/25/2020 03:15:01 PM
2020/06/28,41-50,2,649,07/25/2020 03:15:01 PM
2020/06/29,41-50,15,664,07/25/2020 03:15:01 PM
2020/06/30,41-50,12,676,07/25/2020 03:15:01 PM
2020/07/01,41-50,9,685,07/25/2020 03:15:01 PM
2020/07/02,41-50,14,699,07/25/2020 03:15:01 PM
2020/07/03,41-50,23,722,07/25/2020 03:15:01 PM
2020/07/04,41-50,0,722,07/25/2020 03:15:01 PM
2020/07/05,41-50,6,728,07/25/2020 03:15:01 PM
2020/07/06,41-50,15,743,07/25/2020 03:15:01 PM
2020/07/07,41-50,13,756,07/25/2020 03:15:01 PM
2020/07/08,41-50,16,772,07/25/2020 03:15:01 PM
2020/07/09,41-50,9,781,07/25/2020 03:15:01 PM
2020/07/10,41-50,22,803,07/25/2020 03:15:01 PM
2020/07/11,41-50,11,814,07/25/2020 03:15:01 PM
2020/07/12,41-50,13,827,07/25/2020 03:15:01 PM
2020/07/13,41-50,18,845,07/25/2020 03:15:01 PM
2020/07/14,41-50,23,868,07/25/2020 03:15:01 PM
2020/07/15,41-50,19,887,07/25/2020 03:15:01 PM
2020/07/16,41-50,25,912,07/25/2020 03:15:01 PM
2020/07/17,41-50,17,929,07/25/2020 03:15:01 PM
2020/07/18,41-50,8,937,07/25/2020 03:15:01 PM
2020/07/19,41-50,12,949,07/25/2020 03:15:01 PM
2020/07/20,41-50,17,966,07/25/2020 03:15:01 PM
2020/07/21,41-50,8,974,07/25/2020 03:15:01 PM
2020/07/22,41-50,10,984,07/25/2020 03:15:01 PM
2020/07/23,41-50,7,991,07/25/2020 03:15:01 PM
2020/03/16,61-70,4,7,07/25/2020 03:15:01 PM
2020/03/17,61-70,1,8,07/25/2020 03:15:01 PM
2020/03/18,61-70,1,9,07/25/2020 03:15:01 PM
2020/03/19,61-70,1,10,07/25/2020 03:15:01 PM
2020/03/20,61-70,6,16,07/25/2020 03:15:01 PM
2020/03/21,61-70,1,17,07/25/2020 03:15:01 PM
2020/03/22,61-70,3,20,07/25/2020 03:15:01 PM
2020/03/23,61-70,3,23,07/25/2020 03:15:01 PM
2020/03/24,61-70,4,27,07/25/2020 03:15:01 PM
2020/03/25,61-70,8,35,07/25/2020 03:15:01 PM
2020/03/26,61-70,6,41,07/25/2020 03:15:01 PM
2020/03/27,61-70,5,46,07/25/2020 03:15:01 PM
2020/03/28,61-70,3,49,07/25/2020 03:15:01 PM
2020/03/29,61-70,1,50,07/25/2020 03:15:01 PM
2020/03/30,61-70,8,58,07/25/2020 03:15:01 PM
2020/03/31,61-70,6,64,07/25/2020 03:15:01 PM
2020/04/01,61-70,4,68,07/25/2020 03:15:01 PM
2020/04/02,61-70,5,73,07/25/2020 03:15:01 PM
2020/04/03,61-70,3,76,07/25/2020 03:15:01 PM
2020/04/04,61-70,0,76,07/25/2020 03:15:01 PM
2020/04/05,61-70,4,80,07/25/2020 03:15:01 PM
2020/04/06,61-70,9,89,07/25/2020 03:15:01 PM
2020/04/07,61-70,4,93,07/25/2020 03:15:01 PM
2020/04/08,61-70,9,102,07/25/2020 03:15:01 PM
2020/04/09,61-70,12,114,07/25/2020 03:15:01 PM
2020/04/10,61-70,4,118,07/25/2020 03:15:01 PM
2020/04/11,61-70,3,121,07/25/2020 03:15:01 PM
2020/04/12,61-70,1,122,07/25/2020 03:15:01 PM
2020/04/13,61-70,6,128,07/25/2020 03:15:01 PM
2020/04/14,61-70,6,134,07/25/2020 03:15:01 PM
2020/04/15,61-70,8,142,07/25/2020 03:15:01 PM
2020/04/16,61-70,2,144,07/25/2020 03:15:01 PM
2020/04/17,61-70,3,147,07/25/2020 03:15:01 PM
2020/04/18,61-70,1,148,07/25/2020 03:15:01 PM
2020/04/19,61-70,6,154,07/25/2020 03:15:01 PM
2020/04/20,61-70,4,158,07/25/2020 03:15:01 PM
2020/04/21,61-70,3,161,07/25/2020 03:15:01 PM
2020/04/22,61-70,7,168,07/25/2020 03:15:01 PM
2020/04/23,61-70,8,176,07/25/2020 03:15:01 PM
2020/04/24,61-70,2,178,07/25/2020 03:15:01 PM
2020/04/25,61-70,3,181,07/25/2020 03:15:01 PM
2020/04/26,61-70,2,183,07/25/2020 03:15:01 PM
2020/04/27,61-70,3,186,07/25/2020 03:15:01 PM
2020/04/28,61-70,2,188,07/25/2020 03:15:01 PM
2020/04/29,61-70,7,195,07/25/2020 03:15:01 PM
2020/04/30,61-70,4,199,07/25/2020 03:15:01 PM
2020/05/01,61-70,2,201,07/25/2020 03:15:01 PM
2020/05/02,61-70,5,206,07/25/2020 03:15:01 PM
2020/05/03,61-70,0,206,07/25/2020 03:15:01 PM
2020/05/04,61-70,3,209,07/25/2020 03:15:01 PM
2020/05/05,61-70,1,210,07/25/2020 03:15:01 PM
2020/05/06,61-70,2,212,07/25/2020 03:15:01 PM
2020/05/07,61-70,1,213,07/25/2020 03:15:01 PM
2020/05/08,61-70,3,216,07/25/2020 03:15:01 PM
2020/05/09,61-70,1,217,07/25/2020 03:15:01 PM
2020/05/10,61-70,0,217,07/25/2020 03:15:01 PM
2020/05/11,61-70,1,218,07/25/2020 03:15:01 PM
2020/05/12,61-70,2,220,07/25/2020 03:15:01 PM
2020/05/13,61-70,2,222,07/25/2020 03:15:01 PM
2020/05/14,61-70,3,225,07/25/2020 03:15:01 PM
2020/05/15,61-70,4,229,07/25/2020 03:15:01 PM
2020/05/16,61-70,1,230,07/25/2020 03:15:01 PM
2020/05/17,61-70,1,231,07/25/2020 03:15:01 PM
2020/05/18,61-70,1,232,07/25/2020 03:15:01 PM
2020/05/19,61-70,0,232,07/25/2020 03:15:01 PM
2020/05/20,61-70,2,234,07/25/2020 03:15:01 PM
2020/05/21,61-70,1,235,07/25/2020 03:15:01 PM
2020/05/22,61-70,0,235,07/25/2020 03:15:01 PM
2020/05/23,61-70,2,237,07/25/2020 03:15:01 PM
2020/05/24,61-70,0,237,07/25/2020 03:15:01 PM
2020/05/25,61-70,1,238,07/25/2020 03:15:01 PM
2020/05/26,61-70,0,238,07/25/2020 03:15:01 PM
2020/05/27,61-70,1,239,07/25/2020 03:15:01 PM
2020/05/28,61-70,1,240,07/25/2020 03:15:01 PM
2020/05/29,61-70,1,241,07/25/2020 03:15:01 PM
2020/05/30,61-70,2,243,07/25/2020 03:15:01 PM
2020/05/31,61-70,3,246,07/25/2020 03:15:01 PM
2020/06/01,61-70,2,248,07/25/2020 03:15:01 PM
2020/06/02,61-70,3,251,07/25/2020 03:15:01 PM
2020/06/03,61-70,3,254,07/25/2020 03:15:01 PM
2020/06/04,61-70,3,257,07/25/2020 03:15:01 PM
2020/06/05,61-70,3,260,07/25/2020 03:15:01 PM
2020/06/06,61-70,1,261,07/25/2020 03:15:01 PM
2020/06/07,61-70,1,262,07/25/2020 03:15:01 PM
2020/06/08,61-70,2,264,07/25/2020 03:15:01 PM
2020/06/09,61-70,1,265,07/25/2020 03:15:01 PM
2020/06/10,61-70,0,265,07/25/2020 03:15:01 PM
2020/06/11,61-70,2,267,07/25/2020 03:15:01 PM
2020/06/12,61-70,5,272,07/25/2020 03:15:01 PM
2020/06/13,61-70,1,273,07/25/2020 03:15:01 PM
2020/06/14,61-70,0,273,07/25/2020 03:15:01 PM
2020/06/15,61-70,1,274,07/25/2020 03:15:01 PM
2020/06/16,61-70,3,277,07/25/2020 03:15:01 PM
2020/06/17,61-70,1,278,07/25/2020 03:15:01 PM
2020/06/18,61-70,1,279,07/25/2020 03:15:01 PM
2020/06/19,61-70,4,283,07/25/2020 03:15:01 PM
2020/06/20,61-70,1,284,07/25/2020 03:15:01 PM
2020/06/21,61-70,1,285,07/25/2020 03:15:01 PM
2020/06/22,61-70,5,290,07/25/2020 03:15:01 PM
2020/06/23,61-70,6,296,07/25/2020 03:15:01 PM
2020/06/24,61-70,3,299,07/25/2020 03:15:01 PM
2020/06/25,61-70,1,300,07/25/2020 03:15:01 PM
2020/06/26,61-70,6,306,07/25/2020 03:15:01 PM
2020/06/27,61-70,4,310,07/25/2020 03:15:01 PM
2020/06/28,61-70,2,312,07/25/2020 03:15:01 PM
2020/06/29,61-70,3,315,07/25/2020 03:15:01 PM
2020/06/30,61-70,5,320,07/25/2020 03:15:01 PM
2020/07/01,61-70,4,324,07/25/2020 03:15:01 PM
2020/07/02,61-70,3,327,07/25/2020 03:15:01 PM
2020/07/03,61-70,1,328,07/25/2020 03:15:01 PM
2020/07/04,61-70,0,328,07/25/2020 03:15:01 PM
2020/07/05,61-70,2,330,07/25/2020 03:15:01 PM
2020/07/06,61-70,6,336,07/25/2020 03:15:01 PM
2020/07/07,61-70,5,341,07/25/2020 03:15:01 PM
2020/07/08,61-70,7,348,07/25/2020 03:15:01 PM
2020/07/09,61-70,3,351,07/25/2020 03:15:01 PM
2020/07/10,61-70,9,360,07/25/2020 03:15:01 PM
2020/07/11,61-70,5,365,07/25/2020 03:15:01 PM
2020/07/12,61-70,4,369,07/25/2020 03:15:01 PM
2020/07/13,61-70,8,377,07/25/2020 03:15:01 PM
2020/07/14,61-70,10,387,07/25/2020 03:15:01 PM
2020/07/15,61-70,9,396,07/25/2020 03:15:01 PM
2020/07/16,61-70,5,401,07/25/2020 03:15:01 PM
2020/07/17,61-70,6,407,07/25/2020 03:15:01 PM
2020/07/18,61-70,3,410,07/25/2020 03:15:01 PM
2020/07/19,61-70,3,413,07/25/2020 03:15:01 PM
2020/07/20,61-70,7,420,07/25/2020 03:15:01 PM
2020/07/21,61-70,6,426,07/25/2020 03:15:01 PM
2020/07/22,61-70,3,429,07/25/2020 03:15:01 PM
2020/07/23,61-70,3,432,07/25/2020 03:15:01 PM
